continent,country,population,day,time,cases_new,cases_active,cases_critical,cases_recovered,cases_1M_pop,cases_total,deaths_new,deaths_1M_pop,deaths_total,tests_1M_pop,tests_total
Africa,Saint-Helena,6115.0,2023-12-14,2023-12-14T06:45:06+00:00,0,2164.0,0.0,2.0,354211,2166,0,0,0.0,0,0.0
South-America,Falkland-Islands,3539.0,2023-12-14,2023-12-14T06:45:06+00:00,0,0.0,0.0,1930.0,545352,1930,0,0,0.0,2439107,8632.0
North-America,Montserrat,4965.0,2023-12-14,2023-12-14T06:45:06+00:00,0,19.0,0.0,1376.0,282578,1403,0,1611,8.0,3577442,17762.0
0,Diamond-Princess,0.0,2023-12-14,2023-12-14T06:45:06+00:00,0,0.0,0.0,699.0,0,712,0,0,13.0,0,0.0
Europe,Vatican-City,799.0,2023-12-14,2023-12-14T06:45:06+00:00,0,0.0,0.0,29.0,36295,29,0,0,0.0,0,0.0
Africa,Western-Sahara,626161.0,2023-12-14,2023-12-14T06:45:06+00:00,0,0.0,0.0,9.0,16,10,0,2,1.0,0,0.0
0,MS-Zaandam,0.0,2023-12-14,2023-12-14T06:45:06+00:00,0,0.0,0.0,7.0,0,9,0,0,2.0,0,0.0
Asia,China,1448471400.0,2023-12-14,2023-12-14T06:45:06+00:00,0,118977.0,0.0,379053.0,347,503302,0,4,5272.0,110461,160000000.0
Oceania,Wallis-and-Futuna,10982.0,2023-12-14,2023-12-14T06:45:06+00:00,0,3104.0,0.0,438.0,323256,3550,0,728,8.0,1867419,20508.0
Oceania,Tokelau,1378.0,2023-12-14,2023-12-14T06:45:06+00:00,0,80.0,0.0,0.0,58055,80,0,0,0.0,0,0.0
North-America,Saint-Pierre-Miquelon,5759.0,2023-12-14,2023-12-14T06:45:06+00:00,0,1001.0,0.0,2449.0,599410,3452,0,347,2.0,4410488,25400.0
Oceania,Tuvalu,12066.0,2023-12-14,2023-12-14T06:45:06+00:00,0,0.0,0.0,0.0,243909,2943,0,83,1.0,0,0.0
Oceania,Niue,1622.0,2023-12-14,2023-12-14T06:45:06+00:00,+2,8.0,0.0,896.0,557337,904,0,0,0.0,0,0.0
North-America,Cura&ccedil;ao,165529.0,2023-12-14,2023-12-14T06:45:05+00:00,0,971.0,3.0,44720.0,277812,45986,0,1782,295.0,3000640,496693.0
